id;title;description;address;dateFrom;dateTo;city;tag
16;Novogodišnji festival folklora;Novogodišnji festival folklora je muzička manifestacija koja se održava uoči Nove godine, a zasnovana je na nematerijalnim kulturnim vrednostima Vranja, igri i pesmi. Okuplja ansamble i kulturno-umetnička društva iz regiona ali i vokalne soliste i umetnike instrumentaliste, radi očuvanja tradicije grada meraka. Obogaćuje predprazničnu atmosferu i upotpunjuje je, uz podsećanje na korene.;Narodnog heroja 1;30.12.2022.;30.12.2022.;Vranje;events
17;Književna kolonija;Književna kolonija je tradicionalna manifestacija koja obuhvata književne večeri odnosno promocije dela nagrađenih pisaca u tekućoj i prošloj godini, kao i interaktivne radionice sa decom školskog uzrasta, ali i sa nastavnicima srpskog jezika i književnosti.;Partizanska 12;22.11.2022.;10.12.2022.;Vranje;events
18;Miholjski susreti sela;Miholjski susreti sela predstavljaju kulturnu ali i sportsku turističku manifestaciju, koja za cilj ima obogaćenje i razvijanje društvenog života u vranjskim selima i povećanje vidljivosti sela na turističkoj mapi. Kroz bogat i raznovrstan program, prezentuju se narodni običaji, muzika i tradicija kako bi se sačuvali od zaborava ali i fizičko umeće i veštine omladinaca, kao i stvaralaštvo, rukotvorene i drugi proizvodi sa sela. U tome učestvuju đaci iz seoskih škola, omladinci iz sela kao i poljoprivredni proizvođači.;Sela vranjskog kraja;15.10.2022.;16.10.2022.;Vranje;events
19;Dani Vranja;Manifestacija Dani Vranja je tradicionalna turistička manifestacija, čiji je program koncipiran tako da u njemu uživaju ljudi svih generacija, a baziran je na kulturi i zabavi. Njegov sadržaj čine etno sajam, salon knjiga, promocija i degustacija specijaliteta vranjske kihinje, a u večernjim satima su nastupi estradnih umetnika različitih muzičkih profila. Posetioci dolaze iz Pčinjskog okruga i šire, a tokom njenog trajanja ceo grad dobije dimenziju odmora i zabave. Dani Vranja su prilika za uspostavljanje partnerskih, prijateljskih, kulturnih, privrednih i turističkih veza među gradovima, selima, privrednim subjektima, među ljudima. ;Trg Staniše Stošića;26.08.2022.;31.08.2022.;Vranje;events
20;Međunarodna smotra folklora;Međunarodna smotra foklora je tradicionalna kulturno-umetnička manifestacija. Posvećena je negovanju i promociji izvornih igara sa juga Srbije ali i iz drugih država. Podrazumeva upoznavanje igara i muzičke tradicije iz ostalih krajeva i zemalja, a kroz muziku i spoznavanje čitave filozofije življenja jednog podneblja. Na manifestaciji gostuju brojna kulturno-umetnička društva iz Republike Srpske, Bugarske, Makedonije, Italije, Francuske i Poljske. ;Trg Staniše Stošića;20.08.2022.;21.08.2022.;Vranje;events
21;Memorijal Bakije Bakića;Memorijal Bakije Bakića je tradicionalna manifestacija koja se održava u Bakijinu čast, u čast čuvenom trubaču i višestrukom osvajaču titule prva truba Sabora trubača u Guči, koji je preneo slavu vranjske i srpske trube širom sveta.  Program memorijala je sadržajan i bogat, sastoji se iz koncerata duvačkih orkestara, nastupa gradskih kulturno-umetničkih društava i izvođača izvornih pesama. U gradu tada odjekuju zvuci trube, poznatog duvačkog instrumenta, koji se u Vranju svira i čuje na jedinstven i za Vranje vrlo prepoznatljiv način, jer je produkt sviranja iz duše. Danas, Bakijino umeće i postignuće, verno čuvaju i predstavljaju orkestri Nenada Mladenovića i Ekrema Mamutovića.;Trg Staniše Stošića;17.07.2022.;17.07.2022.;Vranje;events
22;Obeležavanje slave Petrovdana;Obeležavanje Petrovdana na planini Besna Kobila je manifestacija zasnovana na verskom prazniku posvećenom Svetim apostolima Petru i Pavlu, koji se proslavlja kao seoska slava Krive Feje, najvećeg sela na Besnoj Kobili. Događaj okuplja vernike i ljubitelje prirode i doprinosi turističkom aktiviranju planine tokom leta, vrednovanju njenih prirodnih ali antropogenih potencijala uz mogućnost postojanja sadržajnijeg aktivnog odmora.;Planinarski dom na Besnoj Kobili;12.07.2022.;12.07.2022.;Vranje;events
23;Banjski kotlić;Banjski kotlić je gastronomsko turistička manifestacija koja okuplja brojne ljubitelje kuvanja kao i degustatore. U spremanju „kotlića sa telećim repovima“, pojedinci, ekipe, majstori ovog specifičnog tradicionalnog jela se nadmeću za jednu od prve tri nagrade. Na manifestaciji se takmiče i domaćice u spremanju samse i ostalih vrsta pita vranjskog kraja. Manifestacija ima i bogat kulturno-umetnički program. ;Kej reke Banjštice pored Sat kule;17.07.2022.;17.07.2022.;Vranje;events
24;Staza vranjskog Deda Mraza;Staza vranjskog Deda mraza je zabavna manifestacija namenjena najmlađima,a održava se povodom novogodišnjih praznika. U nekoliko dana organizovanog programa za mališane je upriličen čaroban ambijent kao i raznolik zabavni, takmičarski, edukativni, a pre svega interaktivni program. Ova jedinstvena manifestacija doprinosi stvaranju praznične čarolije po uzoru na slične manifestacije u evropskim gradovima. ;Gradski park;26.12.2022.;31.12.2022;Vranje;events
25;Zlatna frula juga Srbije - predtakmičenje frulaša;Zlatna frula juga Srbije je muzička-umetnička manifestacija takmičarskog karaktera koja se temelji se na izvornom narodnom stvaralaštvu. Njeni učesnici su takmičari frulaši iz Pčinjskog, Jablaničkog, Niškog i Kosovsko-pomoravskog okruga. Najbolji među njima učestvuju na finalnom takmičenju frulaša u Prislonici kod Čačka. Takmičenje se odvija u 2 kategorije: izvorno sviranje i estradno sviranje. Zvuci frule se prenose Banjom i okupljaju poštovaoce tog starog srpskog instrumenta.;Plato iznad parka u Vranjskoj Banji;17.06.2022.;17.06.2022.;Vranje;events
26;Vrh Besne Kobile;Besna Kobila sa istoimenim najvišim vrhom je planina koju prati priča o neustrašivoj devojci Feji i neukrotivoj kobili i jeste najviša planina subregije Vlasina i Krajište sa nadmorskom visinom od 1.923m. Sa njenog vrha pri vedrom vremenu pogled doseže i do susednog Čemernika, ali i do Šar planine, Rile i Olimpa. Planina pripada Rodopskom masivnom sistemu. Izdužena je u uporedničkom pravcu i sastavljena pretežno od granita i kristalastih škriljaca. Karakteriše je veća rasšlanjenost reljefa i strmiji tereni. Ima potencijala za razvoj zimskog ski turizma, ali i planinskog turizma zasnovanog na aktivnom odmoru tokom cele godine zahvaljujući postojanju planinarskih staza i bogastvu samoniklog, lekovitog bilja i šumskih plodova.;Besna Kobila;;;Vranje;landmarks
27;Muzej kuća Bore Stankovića;"Rodna kuća književnika koji je opisivao život ljudi sa juga, sagrađena je oko 1850.g., a u muzej pretvorena  1967.g. Građena je u balkansko-orijentalnom stilu od ćerpiča, na placu koji je kupila Zlata, Borina baba po ocu. Dočarava svet iz Borinih dela, u koji se ulazi prolaskom kroz otvorenu masivnu drvenu kapiju. Kuća je prekrivena ćeremidom sa istaknutim tremom i doksatom na ulazu i kapidžikom u dvorištu. U njoj se nalaze Gostinska soba, Baba Zlatina soba i Borina soba sa originalnim predmetima, koji su pripadali piscu i članovima njegove porodice - Borina stolica, tabakera, kao i plakati i fotografije pozorišnih predstava, izdanja knjiga i dela dobitnika ""Borine nagrade"", a u kaldrmisanom dvorištu stari dud, vinova loza, bunar, šimšir i letnja kuhinja.";Baba Zlatina 9;;;Vranje;landmarks
28;Narodni muzej;U muškoj zgradi Pašinog konaka - Selamluku je od 1960.g. smešten Narodni muzej, kao muzej Narodno-oslobodilačke borbe, a danas muzej kompleksnog tipa sa preko 30 000 eksponata, iz oblasti etnologije, arheologije i kulturno istorije. Inače, Pašin konak je sagrađen 1765.g. od strane Rauf beg Đinolija u stilu balkansko-orijentalne arhitekture.  Sastojao se iz dve zgrade Selamluka i Haremluka, koje su bile povezane visećim drvenim mostom. U Selamluku je živeo paša sa svojom muškom pratnjom, a u Haremluku se odvijao porodični život, u njemu su živele žene, deca i sluge. Obe zgrade imaju prizemlje i sprat, sa simetrično postavljenim prostorijama i bogato ukrašenim tavanicama. Haremluk se izdvaja po polukružnom proširenju na spratu - divanhani, ispod kojeg je trem u prizemlju. Čitavo imanje bilo je opasano visokim zidom koji je štitio privatnost pašinog doma od radoznalih pogleda.;Pionirska 1;;;Vranje;landmarks
29;Hamam;Nekadašnje tursko kupatilo - Hamam je sagrađeno krajem 17.v. Zidano je od tesanog kamena i opeke sa vezivnim materijalom koji je bio sastavljen od peska i jaja. Bilo je jednodelno i u njemu su se na smenu kupali muškarci i žene. Unutrašnji prostor hamama se sastoji iz svlačionica, mesta za kupanje – Halvata i rezervoara za vodu – Hazne. Na krovu pokrivenim ćeremidom, nalazi se pet kupola sa staklenim okulisima preko kojih se osvetljava unutrašnji prostor.;Kralja Milana 24;;;Vranje;landmarks
30;Pribojčićeva kuća;Pribojčićeva kuća je kuća viđenog vranjskog trgovca, Dobrivoja Pribojčića. Kuću je sagradio njegov otac Manasije koji je bio poznati kafedžija. Kuća je malo starija od Borine kuće i sa njom odnosno njenim dvorištem je povezana kapidžikom. Predstavlja tipičnu vranjsku gradsku kuću s kraja 19.v. u stilu balkansko-orijentalne arhitekture na dva sprata sa balkonom.;Oca Justina Popovića 6;;;Vranje;landmarks
31;Svepravoslavni centar Prepodobni Justin Ćelijski i Vranjski;Jedinstven verski kompleks koji se sastoji iz kuće Oca Justina Popovića, podignute na temeljima stare i crkve posvećene Justinu Filozofu i Justinu Ćelijskom i Vranjskom, otvoren je za posetu 2010.g. U prizemnom delu kuće je galerija u kojoj su izložene porodične fotografije i fotografije iz manastira Ćelije, a na spratu u spomen sobi je izložena odežda Ave Justina i njegovi tomovi knjiga. U crkvi se nalazi deo moštiju, prenet iz manastira Ćelije u kome je Otac Justin proveo više od 30 godina.;Oca Justina Popovića bb;;;Vranje;landmarks
32;Saborna crkva Svete Trojice;Saborna crkva-Crkva Sv. Trojice se nalazi u samom centru grada. Sagrađena je zahvaljujući dosetljivosti Vranjanaca, a građena je u prekidima 1838.g. i 1858.g. Među najdarežljivijim ktitorima i priložnicima prilikom gradnje crkve bio je Hađi-Mihailo Pogačarević, najviđeniji čovek u gradu. Njegov primer su sledili i ostali poklonici. Izgradnju je pomogao novčanom pomoći u vrednosti od 100 000 dukata, gvožđem iz svog majdana i drvenom građom iz svoje šume i Husein-pasa. U obliku je velelepne trobrodne bazilike stavljene pod krov i opkoljene tremovima. Blago hrama je ikonostas, delo Diče Zografa iz Vardarske Makedonije. Sedište je Eparhije vranjske.;Ivana Milutinovića 26;;;Vranje;landmarks
33;Manastir Svetog Oca Nikolaja;Manastir Svetog Oca Nikolaja se nalazi iznad Belog mosta, na desnoj strani Vranjske reke. Potiče iz 14.v. i  prvobitno je bio crkva.  Povelja cara Dušana svedoči da je metoh manastira Hilandara. U vreme vladavine Stefana Dečanskog crkvu je sazidao knez Baldovin, a njegov sin car Dušan je priložio crkvu Hilandaru. Pri obnovi crkve 1894.g., nađene su tri nadgrobne ploče. Na jednoj je zabeležen dan smrti kneza Baldovina, na drugoj ime gospođe Ane, za koju se smatra da je bila žena kneza Baldovina, a na trećoj je dešifrovan datum smrti “Raba Božijeg Nikole, unuka Baldovina”. Ploče su prenete u Narodni muzej u Beogradu. Na mestu stare crkve početkom 20.v., sagrađena je nova crkva. Obnovljena je 2002.g. i danas je manastir. Predstavlja jednobrodnu baziliku sa kupolom na vrhu i oltarskom apsidom na istočnoj strani. Manastirski kompleks čine crkva, konak, pirg i spomen kosturnica, sa čijeg platoa se pruža divan pogled na panoramu grada.;Zelengorska bb;;;Vranje;landmarks
34;Crkva Sv. Petka - Krstata džamija;Crkva Svete Petke poznatija kao Krstata džamija se nalazi u blizini Belog mosta, na levoj obali Vranjske reke. Datira iz 13.v. kao srednjevekovna srpska crkva, izgrađena na mestu gde su se nalazile mošti nepoznatog sveca. Turci su je pretvorili u džamiju dogradivši minaret. Postoji legenda da su je natprirodne sile rušile sve do trenutka kada su Turci na vrh minareta stavili krst. Narod je prozvao Krstata džamija. Crkva je obnovljena prilozima naroda a od prvobitne crkve ostale su samo zidine na ulazu.;Pored Belog mosta;;;Vranje;landmarks
35;Manastir Sv.Simeon Stolpnik;Manastir Svetog Simeona Stolpnika se nalazi u selu Soderce. Udaljen je od grada 6km. Potiče iz srednjeg veka, a ono što se danas može sagledati jeste rezultat temeljite obnove, izvedene 1871.g.  Crkva je renovirana 1994.g., a zvonara 1996.g. Pisani podaci o izgradnji hrama nisu sačuvani. Manastir je smešten znatno iznad sela, uz planinski potok, a svojim zapadnim zidom oslanja se na stenu. Prilagođena konfiguraciji terena, manastirska crkva ima glavni ulaz s juga, kome prethodi drveni trem, dok je drugi ulaz na severnoj strani. Na ikonostasu s ikonama s kraja 19.v. pažnju privlači floralna dekoracija;selo Soderce;;;Vranje;landmarks
36;Manastir Sv. Stefan;Manastir Svetog Stefana nalazi se u selu Gornje Žapsko. Udaljen je od grada 17km. Manastirska crkva, na temeljima stare srednjevekovne, obnovljena je 1843.g. u vreme kneza Miloša Obrenovića. Početkom 20.v., u njemu se nalazila versko-učiteljska škola, tzv. Psaltirska bogoslovija, koju je završilo oko četrdeset sveštenika. Tridesetih godina 20.v. u ovoj svetinji utočište je našao belogardejski kapetan Nikolaj Sofronjicki, koji se desetak godina brižno starao o manastiru. Manastir je tada imao veliko imanje i šumu. U Drugom svetskom ratu manastirski konak je zapaljen od strane Bugara i tom prilikom uništena je manastirska arhiva. Obnova manastira je započeta avgusta 1992.g. Sadašnja crkva je jednobrodna, zvonik je zbog dotrajalosti zamenjen novim, a staro zvono je sačuvano. Danas se sestrinstvo, na čijem je čelu igumanija Jefremija, bavi ikonopisom, prevođenjem i izdavanjem dela starca Pajsija Svetogorca, pravljanjem preparata od lekovitog bilja, stolarijom i duborezom. U manastiru se neguje i tradicija vizantijskog pojanja.;selo Gornje Žapsko;;;Vranje;landmarks
37;Manastir Sv. Pantelejmon;Manastir Svetog Pantelejmona se nalazi u selu Lepčince. Udaljen je od grada 21km. Posvećen je svecu koji je u narodu poštovan kao veliki iscelitelj i pomoćnik bolesnima. Predanje govori da je na mestu današnjeg manastira postojao manastir podignut u 14.v., u vreme  kralja Milutina. Ova pretpostavka je potkrepljena činjenicom da u blizini postoje temelji Spasovdanske crkve koja je po obliku gradnje slična manastiru Pantelejmon. Obnovljen je 1852.g. i 1993.g., a  novi zvonik je podignut 2000.g.;selo Lepčince;;;Vranje;landmarks
38;Markovo kale - ostaci grada tvrđave;Markovo kale je najstariji spomenik grada, podignut u 6.v. za vreme cara Justinijana. Predstavlja ostatke srednjevekovnog utvrđenja na antičkim temeljima. Poznatiji je kao grad Marka Kraljevića. Udaljen je od grada 6km i nalazi se na isturenom grebenu uz stari put koji spaja vranjsku kotlinu sa leskovačkom. Konfiguracija terena je diktirala trougaonu osnovu utvrđenja. Zaštićeno je masivnim bedemima debljine 2m, a na jednoj strani je strma litica. Bedemi su imali šetnu stazu koja se završavala kulama. Očuvani su ostaci jugoistočne male kule, a na severu i branič kule. Na utvrđenju se izdvaja  gornji i donji plato grada. U gornjem su otkrivene cisterne, a u donjem ostaci crkve u obliku krsta iz 12.v. Dok se u podnožju grada tvrđave nalazi izvor Vranjske reke. Objekat nije pristupačan za posetu iz bezbednosnih razloga.;Severno od Vranja. iznad ušća Male i Devotinske reke u Vranjsku reku;;;Vranje;landmarks
39;Beli most;"Beli most ili most ljubavi je najpoznatiji vranjski spomenik. Naziva se beli jer je napravljen od belog kamena, a poznatiji je kao most ljubavi jer je svedok jednoj velikoj, iskrenoj ali nesrećnoj ljubavi između lepe Selim begove kćeri Ajše i siromašnog čobanina Stojana. Podignut je 1844.g. iznad Vranjske reke, pokraj mesta gde se ljubavni par krišom sastajao ali i poginuo. Spaja levu i desnu obalu reke, Ajšinu i Stojanovu. Na mostu se nalazi ploča na kojoj je ispisano turskim slovima: :::""Ovaj most zvaće se beli i služiće ljudima za olakšicu, a voda koja teče ispod njega služiće za zdravlje. Prolaznici, prođite preko mosta jedanput i vratite se, i videćete da je stvoren za dobro svakog čoveka""...";iznad Vranjske reke. između ulica Otona Župančića i 9. Jugovivića;;;Vranje;landmarks
40;Vranjska gimnazija;Vranjska gimnazija je najstarija školska institucija na jugu Srbije. Građena je u periodu od 1931.g. do 1933.g. Ima dva sprata, ne računajući prizemlje i suteren i u obliku je slova E. Na drugom spratu, iznad terase postavljeni su bareljefi jugoslovenskih velikana: Vuka Karadžića, Bore Stankovića, Ivana Gundulića, Svetog Save, Ivana Mažuranića, Franca Prešerna i Petra Petrovića. Poznati predavači vranjske gimnazije bili su Radoje Domanović, Ljuba Davidović i Jaša Prodanović.;Partizanska 12;;;Vranje;landmarks
41;Dom Vojske;Dom vojske je zgrada nekadašnjeg oficirskog doma izgrađenog 1932.g., a rekonstruisana 2011.g. U njemu su se pre i posle Drugog svetskog rata organizovali  prijemi, oficirski balovi, bioskopske projekcije i koncerti poznatih orkestara, a u bašti legendarne igranke. Danas, sala Doma vojske se koristi za razne kulturne aktivnosti, jer poseduje oficirski klub, multimedijalnu salu i VIP salon. Sam ulaz krase dva vojnika u bronzi, jedan mlad a drugi stariji u skladu sa simbolikom da se u vojsku krene mlad, a vraća se stariji i zreliji.;Partizanska;;;Vranje;landmarks
42;Spomen soba garnizona Vranje;Spomen soba Garnizona Vranje je otvorena za javnost 2008.g. u  sklopu kasarne „Prvi pešadijski puk Knjaza Miloša Velikog“. Predstavlja jedinstven spomenik posvećen svim poginulim Vranjancima za slobodu u periodu od 1878.g. do danas. Soba sadrži 8 spomen ploča i 5440 imena i prezimena ljudi, koji su živote izgubili za čast predaka i slobodu potomaka. Na ulazu je počasna straža i večiti plamen.;"Kasarna ""Prvi pešadijski puk knjaza Miloša Velikog"". ugao Nemanjine i Petra Lekovića";;;Vranje;landmarks
43;Kuća na uglu;Kuća na uglu ima epitet najlepše kuće u Vranju. Izgrađena je 1907.g. u renesansnom stilu. Na ulazu je čipkasta kapija od kovanog gvožđa, sa reljefnom masivnom bravom i makazama kao simbolom esnafske delatnosti tadašnjeg vlasnika Tome Zafirovića, bogatog krojača i narodnog poslanika. Kuća je visoko prizemna, sa brojnim sobama i ugaonom terasom na krovu.;ugao ulica Žikice Jovanovića Španca i Vule Antića;;;Vranje;landmarks
44;Crkvene kuće;Crkvene kuće čine kompleks od ukupno četiri objekata koji je sagrađen u periodu od 1924.g. do 1928.g. Središnji deo kuća je tavanski. Postoji veza između soba. Kuće su četvorodelne i namenjene za stanovanje sveštenih lica. Smeštene su iza Sabornog hrama.;Dositejeva;;;Vranje;landmarks
